timestamp,domain,resolution_mode,dns_server_ip,step,response_type,rtt_ms,total_time_ms,cache_status
2025-10-28 11:22:02,livelinks.com,iterative,205.251.193.112,TLD/AUTH,ANSWER,45.34,375.57,MISS
2025-10-28 11:22:02,jantv.in,iterative,198.41.0.4,ROOT,REFERRAL,150.35,-,MISS
2025-10-28 11:22:02,jantv.in,iterative,64.78.205.1,TLD/AUTH,REFERRAL,42.27,-,MISS
2025-10-28 11:22:02,jantv.in,iterative,172.64.34.195,TLD/AUTH,ANSWER,52.21,636.73,MISS
2025-10-28 11:22:03,hornil.com,iterative,198.41.0.4,ROOT,REFERRAL,150.66,-,MISS
2025-10-28 11:22:03,hornil.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,152.67,-,MISS
2025-10-28 11:22:03,hornil.com,iterative,1.226.85.4,TLD/AUTH,ANSWER,181.48,485.28,MISS
2025-10-28 11:22:03,7dfps.com,iterative,198.41.0.4,ROOT,REFERRAL,166.21,-,MISS
2025-10-28 11:22:03,7dfps.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,174.85,-,MISS
2025-10-28 11:22:03,7dfps.com,iterative,108.162.194.152,TLD/AUTH,ANSWER,57.51,399.07,MISS
2025-10-28 11:22:04,luckypuppygames.com,iterative,198.41.0.4,ROOT,REFERRAL,171.58,-,MISS
2025-10-28 11:22:04,luckypuppygames.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,149.22,-,MISS
2025-10-28 11:22:04,luckypuppygames.com,iterative,185.67.45.231,TLD/AUTH,ANSWER,187.52,508.86,MISS
2025-10-28 11:22:04,b-matrix.com,iterative,198.41.0.4,ROOT,REFERRAL,150.03,-,MISS
2025-10-28 11:22:04,b-matrix.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,151.96,-,MISS
2025-10-28 11:22:04,b-matrix.com,iterative,97.74.107.28,TLD/AUTH,ANSWER,180.76,483.45,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,198.41.0.4,ROOT,REFERRAL,153.22,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.41.162.30,TLD/AUTH,REFERRAL,156.84,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.48.79.30,TLD/AUTH,REFERRAL,153.94,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.54.112.30,TLD/AUTH,NO_RESPONSE,timeout,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.31.80.30,TLD/AUTH,NO_RESPONSE,timeout,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.33.14.30,TLD/AUTH,REFERRAL,271.23,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.35.51.30,TLD/AUTH,REFERRAL,174.10,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,170.247.170.2,ROOT,REFERRAL,273.89,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.5.6.30,TLD/AUTH,REFERRAL,48.83,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.26.92.30,TLD/AUTH,REFERRAL,177.31,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.12.94.30,TLD/AUTH,REFERRAL,180.83,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.33.4.12,ROOT,REFERRAL,88.51,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.55.83.30,TLD/AUTH,REFERRAL,154.09,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.52.178.30,TLD/AUTH,REFERRAL,155.37,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.43.172.30,TLD/AUTH,REFERRAL,194.47,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.42.93.30,TLD/AUTH,NO_RESPONSE,timeout,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,199.7.91.13,ROOT,REFERRAL,57.06,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.203.230.10,ROOT,REFERRAL,63.52,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.5.5.241,ROOT,NO_RESPONSE,timeout,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.112.36.4,ROOT,REFERRAL,190.78,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,198.97.190.53,ROOT,REFERRAL,331.26,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.36.148.17,ROOT,REFERRAL,72.68,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,192.58.128.30,ROOT,NO_RESPONSE,timeout,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,193.0.14.129,ROOT,REFERRAL,103.28,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,199.7.83.42,ROOT,NO_RESPONSE,timeout,-,MISS
2025-10-28 11:22:05,coutureauchocolat.com,iterative,202.12.27.33,ROOT,REFERRAL,194.83,-,MISS
